dataset,protocol,model,representation,method,metric,value,rank,higher_is_better,n_models,n_seeds_expected,n_subjects_total,n_subjects_available,tie_rule,aggregation,representation_caution,inferential,source_csv
uci_har,leakage_reduced_mixed,logistic,V1_official_features,raw,brier,0.0510399256588183,1.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,random_forest,V1_official_features,raw,brier,0.0918485542279725,3.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,cnn1d,raw_sensor_windows,raw,nll,0.2045963184477287,4.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,extra_trees,V1_official_features,raw,nll,0.2131597087423535,5.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,hist_gradient_boosting,V1_official_features,raw,nll,0.1910640788370669,2.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,logistic,V1_official_features,raw,nll,0.1109015283903301,1.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,random_forest,V1_official_features,raw,nll,0.1921803896412731,3.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,cnn1d,raw_sensor_windows,raw,ece_15,0.0551918042573451,3.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,extra_trees,V1_official_features,raw,ece_15,0.1248154785394595,5.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,hist_gradient_boosting,V1_official_features,raw,ece_15,0.0290955934955724,2.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,logistic,V1_official_features,raw,ece_15,0.0190156706188095,1.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,leakage_reduced_mixed,random_forest,V1_official_features,raw,ece_15,0.0942944670570068,4.0,False,5,1,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,cnn1d,raw_sensor_windows,raw,accuracy,0.9679684131788174,5.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,extra_trees,V1_official_features,raw,accuracy,0.9817747639243866,3.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,hist_gradient_boosting,V1_official_features,raw,accuracy,0.9895849151890038,1.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,logistic,V1_official_features,raw,accuracy,0.982160227619223,2.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,random_forest,V1_official_features,raw,accuracy,0.9753070022709563,4.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,cnn1d,raw_sensor_windows,raw,macro_f1,0.9689498574487732,5.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,extra_trees,V1_official_features,raw,macro_f1,0.981907114964216,3.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,hist_gradient_boosting,V1_official_features,raw,macro_f1,0.9897440214165352,1.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,logistic,V1_official_features,raw,macro_f1,0.982886349632394,2.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,random_forest,V1_official_features,raw,macro_f1,0.9749272035815056,4.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,cnn1d,raw_sensor_windows,raw,brier,0.0472661431518309,3.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,extra_trees,V1_official_features,raw,brier,0.0670336881462745,5.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,hist_gradient_boosting,V1_official_features,raw,brier,0.0167576820856158,1.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,logistic,V1_official_features,raw,brier,0.0281311835207595,2.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,random_forest,V1_official_features,raw,brier,0.0620541071397425,4.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,cnn1d,raw_sensor_windows,raw,nll,0.0821729778430659,3.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,extra_trees,V1_official_features,raw,nll,0.1670240410724203,5.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,hist_gradient_boosting,V1_official_features,raw,nll,0.0355258155102928,1.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,logistic,V1_official_features,raw,nll,0.0564143042451712,2.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,random_forest,V1_official_features,raw,nll,0.1473556976450632,4.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,cnn1d,raw_sensor_windows,raw,ece_15,0.0235055692784371,3.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,extra_trees,V1_official_features,raw,ece_15,0.1200322660747924,5.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,hist_gradient_boosting,V1_official_features,raw,ece_15,0.0066725502255228,1.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,logistic,V1_official_features,raw,ece_15,0.0098482054723223,2.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,sample_mixed,random_forest,V1_official_features,raw,ece_15,0.092219407051537,4.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,cnn1d,raw_sensor_windows,raw,accuracy,0.9158785299060836,5.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,extra_trees,V1_official_features,raw,accuracy,0.9379788961071754,2.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,hist_gradient_boosting,V1_official_features,raw,accuracy,0.9353439189371618,3.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,logistic,V1_official_features,raw,accuracy,0.9441964271815306,1.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,random_forest,V1_official_features,raw,accuracy,0.9247824463917682,4.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,cnn1d,raw_sensor_windows,raw,macro_f1,0.9113297067824688,5.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,extra_trees,V1_official_features,raw,macro_f1,0.9328526123365646,2.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,hist_gradient_boosting,V1_official_features,raw,macro_f1,0.9289763805791538,3.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,logistic,V1_official_features,raw,macro_f1,0.9395561047032616,1.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,random_forest,V1_official_features,raw,macro_f1,0.9156934381230248,4.0,True,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,cnn1d,raw_sensor_windows,raw,brier,0.1336795591042598,3.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,extra_trees,V1_official_features,raw,brier,0.1359474791367197,5.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,hist_gradient_boosting,V1_official_features,raw,brier,0.1124996401752712,2.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,logistic,V1_official_features,raw,brier,0.0915709792480248,1.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,random_forest,V1_official_features,raw,brier,0.1342506784396556,4.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,cnn1d,raw_sensor_windows,raw,nll,0.2707936769183595,3.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,extra_trees,V1_official_features,raw,nll,0.2793133999597638,4.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,hist_gradient_boosting,V1_official_features,raw,nll,0.3639519644479875,5.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,logistic,V1_official_features,raw,nll,0.247628379715379,1.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,random_forest,V1_official_features,raw,nll,0.2617459060044242,2.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,cnn1d,raw_sensor_windows,raw,ece_15,0.0753078989358983,3.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,extra_trees,V1_official_features,raw,ece_15,0.1435267088348921,5.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,hist_gradient_boosting,V1_official_features,raw,ece_15,0.0511268466302603,2.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,logistic,V1_official_features,raw,ece_15,0.037034612052373,1.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
uci_har,subject_disjoint,random_forest,V1_official_features,raw,ece_15,0.1081352637997511,4.0,False,5,10,30,30,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",Representations reported explicitly,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,cnn1d,raw_sensor_windows,raw,accuracy,0.7656429200503626,4.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,extra_trees,V1_official_features,raw,accuracy,0.8225735588360387,2.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,hist_gradient_boosting,V1_official_features,raw,accuracy,0.8455064630993534,1.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,logistic,V1_official_features,raw,accuracy,0.7114334053260536,5.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,random_forest,V1_official_features,raw,accuracy,0.8221199741995865,3.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,cnn1d,raw_sensor_windows,raw,macro_f1,0.7467557633998355,4.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,extra_trees,V1_official_features,raw,macro_f1,0.8113886596239714,2.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,hist_gradient_boosting,V1_official_features,raw,macro_f1,0.8375896967065429,1.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,logistic,V1_official_features,raw,macro_f1,0.6913666089375196,5.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,random_forest,V1_official_features,raw,macro_f1,0.8112716989637682,3.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,cnn1d,raw_sensor_windows,raw,brier,0.3269891352400521,4.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,extra_trees,V1_official_features,raw,brier,0.2884593416977899,2.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,hist_gradient_boosting,V1_official_features,raw,brier,0.224231481819653,1.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,logistic,V1_official_features,raw,brier,0.401357750703337,5.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,random_forest,V1_official_features,raw,brier,0.2897485309975088,3.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,cnn1d,raw_sensor_windows,raw,nll,0.7164046536569173,4.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,extra_trees,V1_official_features,raw,nll,0.705930746225244,3.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,hist_gradient_boosting,V1_official_features,raw,nll,0.525544648431063,1.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,logistic,V1_official_features,raw,nll,0.937167182456588,5.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,random_forest,V1_official_features,raw,nll,0.7040710973082059,2.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,cnn1d,raw_sensor_windows,raw,ece_15,0.0801704065417667,2.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,extra_trees,V1_official_features,raw,ece_15,0.1576788205544088,5.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,hist_gradient_boosting,V1_official_features,raw,ece_15,0.0526378471982129,1.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,logistic,V1_official_features,raw,ece_15,0.0883698587157844,3.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,sample_mixed,random_forest,V1_official_features,raw,ece_15,0.155981937490961,4.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,subject_disjoint,cnn1d,raw_sensor_windows,raw,accuracy,0.5098006412666014,5.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,subject_disjoint,extra_trees,V1_official_features,raw,accuracy,0.631222500482924,3.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,subject_disjoint,hist_gradient_boosting,V1_official_features,raw,accuracy,0.6420888682362667,1.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,subject_disjoint,logistic,V1_official_features,raw,accuracy,0.6069749889450108,4.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,subject_disjoint,random_forest,V1_official_features,raw,accuracy,0.6412795656144985,2.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,subject_disjoint,cnn1d,raw_sensor_windows,raw,macro_f1,0.4649894619717147,5.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,subject_disjoint,extra_trees,V1_official_features,raw,macro_f1,0.6103715666182774,3.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,subject_disjoint,hist_gradient_boosting,V1_official_features,raw,macro_f1,0.6236584037425417,1.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,subject_disjoint,logistic,V1_official_features,raw,macro_f1,0.5792705180068721,4.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,subject_disjoint,random_forest,V1_official_features,raw,macro_f1,0.6201651543479794,2.0,True,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,subject_disjoint,cnn1d,raw_sensor_windows,raw,brier,0.6360568724015869,5.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,subject_disjoint,extra_trees,V1_official_features,raw,brier,0.5070740286353697,2.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
wisdm_watch_accel,subject_disjoint,hist_gradient_boosting,V1_official_features,raw,brier,0.5298645011205964,3.0,False,5,10,50,50,average rank for exact metric ties,"seed mean within participant, followed by equal-participant mean",WISDM CNN raw windows and classical official feature windows differ,False,09_tables/table_model_summary.csv
